2019-07-18 10:14:55.392 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/modify],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.postBPCPermissionOrder(com.bgy.ofa.sapformapi.vo.BPCPermissionOrder)
2019-07-18 10:14:55.392 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/orderDetail/{orderId}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.getOrderDetailByOrderId(java.lang.String)
2019-07-18 10:14:55.392 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/{bipId}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.getBPCPermissionOrder(java.lang.String)
2019-07-18 10:14:55.393 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/{orderId}],methods=[DELETE]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.deleteBPCPermissionOrder(java.lang.String)
2019-07-18 10:14:55.393 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/reApprovedSapPermission/{orderId}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.sapApprovedPermisson(java.lang.String)
2019-07-18 10:14:55.394 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.putBPCPermissionOrder(com.bgy.ofa.sapformapi.vo.BPCPermissionOrder)
2019-07-18 10:14:55.394 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/fuzzyUserDetailSearch/{searchKey}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.fuzzyUserDetailSearch(java.lang.String)
2019-07-18 10:14:55.395 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/search],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.getBPCPermissionOrderByConditions(com.bgy.ofa.sapformapi.vo.BPCPermissionOrder,com.bgy.ofa.db.page.PageParam)
2019-07-18 10:14:55.395 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/userDetailMsg/{bipId}],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.getUserDetailMsg(java.lang.String)
2019-07-18 10:14:55.395 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/processHandler],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.processHandler(java.lang.String,java.lang.String,java.lang.String)
